"stages","yellow_jersey","green_jersey","polkadot_jersey","white_jersey","year"
0," Thor Hushovd"," Thor Hushovd",""," Joost Posthuma",2006
1," Thor Hushovd"," Jimmy Casper"," Fabian Wegmann"," Benoît Vaugrenard",2006
2," Thor Hushovd"," Robbie Mc Ewen"," David De La Fuente"," Benoît Vaugrenard",2006
3," Tom Boonen"," Tom Boonen"," Jérôme Pineau"," Benoît Vaugrenard",2006
4," Tom Boonen"," Robbie Mc Ewen"," Jérôme Pineau"," Markus Fothen",2006
5," Tom Boonen"," Robbie Mc Ewen"," Jérôme Pineau"," Markus Fothen",2006
6," Tom Boonen"," Robbie Mc Ewen"," Jérôme Pineau"," Benoît Vaugrenard",2006
7," Serhiy Honchar"," Robbie Mc Ewen"," Jérôme Pineau"," Benoît Vaugrenard",2006
8," Serhiy Honchar"," Robbie Mc Ewen"," Jérôme Pineau"," Benoît Vaugrenard",2006
9," Serhiy Honchar"," Robbie Mc Ewen"," Jérôme Pineau"," Benoît Vaugrenard",2006
10," Cyril Dessel"," Robbie Mc Ewen"," Juan Miguel Mercado"," Benoît Vaugrenard",2006
11," Cyril Dessel"," Robbie Mc Ewen"," David De La Fuente"," Benoît Vaugrenard",2006
12," Cyril Dessel"," Robbie Mc Ewen"," David De La Fuente"," Benoît Vaugrenard",2006
13," Oscar Pereiro Sio"," Robbie Mc Ewen"," David De La Fuente"," Benoît Vaugrenard",2006
14," Oscar Pereiro Sio"," Robbie Mc Ewen"," David De La Fuente"," Benoît Vaugrenard",2006
15," Oscar Pereiro Sio"," Robbie Mc Ewen"," David De La Fuente"," Benoît Vaugrenard",2006
16," Oscar Pereiro Sio"," Robbie Mc Ewen"," Michael Rasmussen"," Benoît Vaugrenard",2006
17," Oscar Pereiro Sio"," Robbie Mc Ewen"," Michael Rasmussen"," Benoît Vaugrenard",2006
18," Oscar Pereiro Sio"," Robbie Mc Ewen"," Michael Rasmussen"," Benoît Vaugrenard",2006
19," Oscar Pereiro Sio"," Robbie Mc Ewen"," Michael Rasmussen"," Benoît Vaugrenard",2006
20," Oscar Pereiro Sio"," Robbie Mc Ewen"," Michael Rasmussen"," Damiano Cunego",2006
0," Fabian Cancellara"," Andreas Klöden",""," Vladimir Gusev",2007
1," Fabian Cancellara"," Robbie Mc Ewen"," Martin Elmiger"," Vladimir Gusev",2007
2," Fabian Cancellara"," Tom Boonen"," David Millar"," Vladimir Gusev",2007
3," Fabian Cancellara"," Tom Boonen"," Stéphane Auge"," Vladimir Gusev",2007
4," Fabian Cancellara"," Tom Boonen"," Stéphane Auge"," Vladimir Gusev",2007
5," Fabian Cancellara"," Erik Zabel"," Sylvain Chavanel"," Vladimir Gusev",2007
6," Fabian Cancellara"," Tom Boonen"," Sylvain Chavanel"," Vladimir Gusev",2007
7," Linus Gerdemann"," Tom Boonen"," Sylvain Chavanel"," Juan Mauricio Soler Hernandez",2007
8," Michael Rasmussen"," Tom Boonen"," Sylvain Chavanel"," Linus Gerdemann",2007
9," Michael Rasmussen"," Tom Boonen"," Juan Mauricio Soler Hernandez"," Alberto Contador",2007
10," Michael Rasmussen"," Tom Boonen"," Juan Mauricio Soler Hernandez"," Alberto Contador",2007
11," Michael Rasmussen"," Tom Boonen"," Juan Mauricio Soler Hernandez"," Alberto Contador",2007
12," Michael Rasmussen"," Tom Boonen"," Juan Mauricio Soler Hernandez"," Alberto Contador",2007
13," Michael Rasmussen"," Tom Boonen"," Juan Mauricio Soler Hernandez"," Alberto Contador",2007
14," Michael Rasmussen"," Tom Boonen"," Juan Mauricio Soler Hernandez"," Alberto Contador",2007
15," Michael Rasmussen"," Tom Boonen"," Juan Mauricio Soler Hernandez"," Alberto Contador",2007
16," Michael Rasmussen"," Tom Boonen"," Juan Mauricio Soler Hernandez"," Alberto Contador",2007
17," Alberto Contador"," Tom Boonen"," Juan Mauricio Soler Hernandez"," Amets Txurruka Ansola",2007
18," Alberto Contador"," Tom Boonen"," Juan Mauricio Soler Hernandez"," Amets Txurruka Ansola",2007
19," Alberto Contador"," Tom Boonen"," Juan Mauricio Soler Hernandez"," Amets Txurruka Ansola",2007
20," Alberto Contador"," Tom Boonen"," Juan Mauricio Soler Hernandez"," Amets Txurruka Ansola",2007
1," Alejandro Valverde"," Philippe Gilbert"," Thomas Voeckler"," Riccardo Ricco",2008
2," Alejandro Valverde"," Kim Kirchen"," Thomas Voeckler"," Riccardo Ricco",2008
3," Romain Feillu"," Kim Kirchen"," Thomas Voeckler"," Andy Schleck",2008
4," Stefan Schumacher"," Kim Kirchen"," Thomas Voeckler"," Thomas Lövkvist",2008
5," Stefan Schumacher"," Thor Hushovd"," Thomas Voeckler"," Thomas Lövkvist",2008
6," Kim Kirchen"," Thor Hushovd"," Sylvain Chavanel"," Thomas Lövkvist",2008
7," Kim Kirchen"," Oscar Freire"," David De La Fuente"," Thomas Lövkvist",2008
8," Kim Kirchen"," Oscar Freire"," David De La Fuente"," Thomas Lövkvist",2008
9," Kim Kirchen"," Oscar Freire"," David De La Fuente"," Andy Schleck",2008
10," Cadel Evans"," Oscar Freire"," Riccardo Ricco"," Vincenzo Nibali",2008
11," Cadel Evans"," Oscar Freire"," Riccardo Ricco"," Vincenzo Nibali",2008
12," Cadel Evans"," Oscar Freire"," Sebastian Lang"," Vincenzo Nibali",2008
13," Cadel Evans"," Oscar Freire"," Sebastian Lang"," Vincenzo Nibali",2008
14," Cadel Evans"," Oscar Freire"," Sebastian Lang"," Vincenzo Nibali",2008
15," Frank Schleck"," Oscar Freire"," Bernhard Kohl"," Vincenzo Nibali",2008
16," Frank Schleck"," Oscar Freire"," Bernhard Kohl"," Andy Schleck",2008
17," Carlos Sastre"," Oscar Freire"," Bernhard Kohl"," Andy Schleck",2008
18," Carlos Sastre"," Oscar Freire"," Bernhard Kohl"," Andy Schleck",2008
19," Carlos Sastre"," Oscar Freire"," Bernhard Kohl"," Andy Schleck",2008
20," Carlos Sastre"," Oscar Freire"," Bernhard Kohl"," Andy Schleck",2008
21," Carlos Sastre"," Oscar Freire"," Bernhard Kohl"," Andy Schleck",2008
1," Fabian Cancellara"," Bradley Wiggins"," Alberto Contador"," Roman Kreuziger",2009
2," Fabian Cancellara"," Mark Cavendish"," Jussi Veikkanen"," Roman Kreuziger",2009
3," Fabian Cancellara"," Mark Cavendish"," Jussi Veikkanen"," Tony Martin",2009
4," Fabian Cancellara"," Mark Cavendish"," Jussi Veikkanen"," Tony Martin",2009
5," Fabian Cancellara"," Mark Cavendish"," Jussi Veikkanen"," Tony Martin",2009
6," Fabian Cancellara"," Mark Cavendish"," Stéphane Auge"," Tony Martin",2009
7," Rinaldo Nocentini"," Mark Cavendish"," Brice Feillu"," Tony Martin",2009
8," Rinaldo Nocentini"," Thor Hushovd"," Christophe Kern"," Tony Martin",2009
9," Rinaldo Nocentini"," Thor Hushovd"," Egoi Martinez"," Tony Martin",2009
