STAGES	YELLOW JERSEY	GREEN JERSEY	POLKA-DOT JERSEY	WHITE JERSEY
1	 FABIAN CANCELLARA	 BRADLEY WIGGINS	 ALBERTO CONTADOR	 ROMAN KREUZIGER
2	 FABIAN CANCELLARA	 MARK CAVENDISH	 JUSSI VEIKKANEN	 ROMAN KREUZIGER
3	 FABIAN CANCELLARA	 MARK CAVENDISH	 JUSSI VEIKKANEN	 TONY MARTIN
4	 FABIAN CANCELLARA	 MARK CAVENDISH	 JUSSI VEIKKANEN	 TONY MARTIN
5	 FABIAN CANCELLARA	 MARK CAVENDISH	 JUSSI VEIKKANEN	 TONY MARTIN
6	 FABIAN CANCELLARA	 MARK CAVENDISH	 STÉPHANE AUGE	 TONY MARTIN
7	 RINALDO NOCENTINI	 MARK CAVENDISH	 BRICE FEILLU	 TONY MARTIN
8	 RINALDO NOCENTINI	 THOR HUSHOVD	 CHRISTOPHE KERN	 TONY MARTIN
9	 RINALDO NOCENTINI	 THOR HUSHOVD	 EGOI MARTINEZ	 TONY MARTIN
10	 RINALDO NOCENTINI	 THOR HUSHOVD	 EGOI MARTINEZ	 TONY MARTIN
11	 RINALDO NOCENTINI	 MARK CAVENDISH	 EGOI MARTINEZ	 TONY MARTIN
12	 RINALDO NOCENTINI	 MARK CAVENDISH	 EGOI MARTINEZ	 TONY MARTIN
13	 RINALDO NOCENTINI	 THOR HUSHOVD	 FRANCO PELLIZOTTI	 TONY MARTIN
14	 RINALDO NOCENTINI	 THOR HUSHOVD	 FRANCO PELLIZOTTI	 TONY MARTIN
15	 ALBERTO CONTADOR	 THOR HUSHOVD	 FRANCO PELLIZOTTI	 ANDY SCHLECK
16	 ALBERTO CONTADOR	 THOR HUSHOVD	 FRANCO PELLIZOTTI	 ANDY SCHLECK
17	 ALBERTO CONTADOR	 THOR HUSHOVD	 FRANCO PELLIZOTTI	 ANDY SCHLECK
18	 ALBERTO CONTADOR	 THOR HUSHOVD	 FRANCO PELLIZOTTI	 ANDY SCHLECK
19	 ALBERTO CONTADOR	 THOR HUSHOVD	 FRANCO PELLIZOTTI	 ANDY SCHLECK
20	 ALBERTO CONTADOR	 THOR HUSHOVD	 FRANCO PELLIZOTTI	 ANDY SCHLECK
21	 ALBERTO CONTADOR	 THOR HUSHOVD	 FRANCO PELLIZOTTI	 ANDY SCHLECK
